ID,diam,rings,year
2_26_10_a,0.3,1,2022
3_26_10_a,0.5,2,2022
4_26_10_a,0.3,2,2022
5_26_10_a,0.4,1,2022
6_26_10_a,0.8,3,2022
7_26_10_a,0.6,2,2022
8_26_10_a,0.7,1,2022
8_26_10_a,0.7,3,2022
9_26_10_a,1,2,2022
10_26_10_a,1.4,3,2022
1_26_10_b,0.3,2,2022
11_26_10_b,0.3,5,2022
12_26_10_b,0.8,3,2022
1_02_11_a,0.3,3,2022
2_02_11_a,0.6,5,2022
2_02_11_a,0.6,6,2022
3_02_11_a,0.8,4,2022
3_02_11_a,1.1,4,2022
4_02_11_a,0.7,5,2022
4_02_11_a,1,5,2022
6_02_11_a,0.2,2,2022
7_02_11_a,0.7,5,2022
8_02_11_a,0.5,2,2022
8_02_11_a,0.5,3,2022
8_02_11_a,0.6,2,2022
8_02_11_a,0.6,3,2022
9_02_11_a,0.4,4,2022
9_02_11_a,0.5,4,2022
10_02_11_a,0.5,4,2022
10_02_11_a,0.5,5,2022
10_02_11_a,0.6,4,2022
10_02_11_a,0.6,5,2022
1_02_11_b,1,2,2022
2_02_11_b,0.4,2,2022
2_02_11_b,0.4,3,2022
2_02_11_b,0.7,2,2022
2_02_11_b,0.7,3,2022
3_02_11_b,0.8,4,2022
3_02_11_b,0.8,5,2022
4_02_11_b,0.2,3,2022
5_02_11_b,0.4,3,2022
7_02_11_b,0.4,3,2022
7_02_11_b,0.4,4,2022
7_02_11_b,0.6,3,2022
7_02_11_b,0.6,4,2022
7_02_11_b,0.8,3,2022
7_02_11_b,0.8,4,2022
8_02_11_b,0.7,1,2022
9_02_11_b,0.4,2,2022
9_02_11_b,0.4,3,2022
9_02_11_b,0.4,4,2022
9_02_11_b,0.8,2,2022
9_02_11_b,0.8,3,2022
9_02_11_b,0.8,4,2022
10_02_11_b,1,4,2022
10_02_11_b,1,6,2022
10_02_11_b,1.3,4,2022
10_02_11_b,1.3,6,2022
1_09_11_a,0.4,2,2022
1_09_11_a,0.4,4,2022
1_09_11_a,0.4,5,2022
1_09_11_a,0.6,2,2022
1_09_11_a,0.6,4,2022
1_09_11_a,0.6,5,2022
2_09_11_a,0.3,3,2022
2_09_11_a,0.3,5,2022
3_09_11_a,0.5,6,2022
4_09_11_a,1.1,4,2022
5_09_11_a,0.8,2,2022
5_09_11_a,0.8,3,2022
5_09_11_a,0.8,4,2022
5_09_11_a,0.8,6,2022
5_09_11_a,1.2,2,2022
5_09_11_a,1.2,3,2022
5_09_11_a,1.2,4,2022
5_09_11_a,1.2,6,2022
6_09_11_a,0.1,2,2022
6_09_11_a,0.4,2,2022
7_09_11_a,0.4,1,2022
8_09_11_a,0.4,2,2022
8_09_11_a,0.4,3,2022
8_09_11_a,0.5,2,2022
8_09_11_a,0.5,3,2022
8_09_11_a,0.8,2,2022
8_09_11_a,0.8,3,2022
9_09_11_a,0.7,3,2022
10_09_11_a,0.7,3,2022
10_09_11_a,0.7,4,2022
10_09_11_a,1,3,2022
10_09_11_a,1,4,2022
1_09_11_b,0.4,3,2022
1_09_11_b,0.5,3,2022
2_09_11_b,0.4,4,2022
2_09_11_b,0.4,5,2022
2_09_11_b,0.6,4,2022
2_09_11_b,0.6,5,2022
2_09_11_b,0.8,4,2022
2_09_11_b,0.8,5,2022
3_09_11_b,0.8,3,2022
4_09_11_b,0.1,5,2022
4_09_11_b,0.6,5,2022
5_09_11_b,0.6,3,2022
6_09_11_b,0.8,3,2022
8_09_11_b,0.4,4,2022
9_09_11_b,0.3,1,2022
10_09_11_b,1,5,2022
3_16_11_a,0.8,1,2022
3_16_11_a,0.8,4,2022
4_16_11_a,0.1,2,2022
4_16_11_a,0.1,4,2022
4_16_11_a,0.2,2,2022
4_16_11_a,0.2,4,2022
4_16_11_a,0.4,2,2022
4_16_11_a,0.4,4,2022
5_16_11_a,0.4,2,2022
5_16_11_a,0.4,3,2022
5_16_11_a,0.4,6,2022
5_16_11_a,0.4,7,2022
5_16_11_a,0.8,2,2022
5_16_11_a,0.8,3,2022
5_16_11_a,0.8,6,2022
5_16_11_a,0.8,7,2022
5_16_11_a,0.9,2,2022
5_16_11_a,0.9,3,2022
5_16_11_a,0.9,6,2022
5_16_11_a,0.9,7,2022
6_16_11_a,0.4,4,2022
6_16_11_a,0.4,7,2022
6_16_11_a,0.6,4,2022
6_16_11_a,0.6,7,2022
7_16_11_a,0.4,2,2022
7_16_11_a,0.4,3,2022
7_16_11_a,0.7,2,2022
7_16_11_a,0.7,3,2022
8_16_11_a,0.2,2,2022
8_16_11_a,0.2,3,2022
8_16_11_a,0.2,4,2022
8_16_11_a,0.2,5,2022
8_16_11_a,0.3,2,2022
8_16_11_a,0.3,3,2022
8_16_11_a,0.3,4,2022
8_16_11_a,0.3,5,2022
8_16_11_a,0.5,2,2022
8_16_11_a,0.5,3,2022
8_16_11_a,0.5,4,2022
8_16_11_a,0.5,5,2022
9_16_11_a,0.3,2,2022
9_16_11_a,0.3,5,2022
9_16_11_a,0.4,2,2022
9_16_11_a,0.4,5,2022
10_16_11_a,0.5,5,2022
11_16_11_a,0.5,4,2022
11_16_11_a,0.5,5,2022
11_16_11_a,0.5,6,2022
11_16_11_a,1,4,2022
11_16_11_a,1,5,2022
11_16_11_a,1,6,2022
1_16_11_b,0.3,1,2022
1_16_11_b,0.4,1,2022
2_16_11_b,0.6,2,2022
3_16_11_b,0.7,4,2022
4_16_11_b,0.6,4,2022
4_16_11_b,0.6,5,2022
4_16_11_b,0.8,4,2022
4_16_11_b,0.8,5,2022
5_16_11_b,0.6,4,2022
5_16_11_b,0.9,4,2022
6_16_11_b,0.4,3,2022
7_16_11_b,0.4,3,2022
7_16_11_b,0.4,4,2022
7_16_11_b,0.6,3,2022
7_16_11_b,0.6,4,2022
8_16_11_b,0.6,2,2022
9_16_11_b,0.6,3,2022
9_16_11_b,0.8,3,2022
10_16_11_b,0.9,4,2022
10_16_11_b,0.9,5,2022
10_16_11_b,1,4,2022
10_16_11_b,1,5,2022
10_16_11_b,1.2,4,2022
10_16_11_b,1.2,5,2022
1_23_11_a,0.4,3,2022
1_23_11_a,0.4,4,2022
1_23_11_a,0.4,5,2022
1_23_11_a,0.6,3,2022
1_23_11_a,0.6,4,2022
1_23_11_a,0.6,5,2022
2_23_11_a,0.5,2,2022
2_23_11_a,0.5,3,2022
2_23_11_a,0.5,4,2022
2_23_11_a,0.7,2,2022
2_23_11_a,0.7,3,2022
2_23_11_a,0.7,4,2022
3_23_11_a,0.8,4,2022
3_23_11_a,0.9,4,2022
3_23_11_a,1,4,2022
4_23_11_a,0.5,3,2022
4_23_11_a,0.7,3,2022
5_23_11_a,0.2,3,2022
5_23_11_a,0.5,3,2022
6_23_11_a,0.9,4,2022
7_23_11_a,0.5,1,2022
7_23_11_a,0.5,2,2022
7_23_11_a,0.5,3,2022
7_23_11_a,0.8,1,2022
7_23_11_a,0.8,2,2022
7_23_11_a,0.8,3,2022
8_23_11_a,0.3,2,2022
8_23_11_a,0.3,3,2022
8_23_11_a,0.3,4,2022
8_23_11_a,0.5,2,2022
8_23_11_a,0.5,3,2022
8_23_11_a,0.5,4,2022
1_23_11_b,0.4,0,2022
2_23_11_b,0.4,1,2022
3_23_11_b,0.3,1,2022
4_23_11_b,0.4,1,2022
4_23_11_b,0.4,3,2022
4_23_11_b,0.5,1,2022
4_23_11_b,0.5,3,2022
4_23_11_b,0.6,1,2022
4_23_11_b,0.6,3,2022
5_23_11_b,0.4,1,2022
5_23_11_b,0.4,2,2022
5_23_11_b,0.5,1,2022
5_23_11_b,0.5,2,2022
6_23_11_b,0.8,1,2022
6_23_11_b,0.8,2,2022
6_23_11_b,0.8,3,2022
7_23_11_b,0.4,2,2022
8_23_11_b,0.3,1,2022
9_23_11_b,0.5,5,2022
9_23_11_b,0.8,5,2022
1_30_11_a,1.1,3,2022
1_30_11_a,1.1,4,2022
1_30_11_a,1.3,3,2022
1_30_11_a,1.3,4,2022
2_30_11_a,1,2,2022
2_30_11_a,1,3,2022
3_30_11_a,0.9,2,2022
3_30_11_a,0.9,3,2022
4_30_11_a,1.2,3,2022
5_30_11_a,0.8,2,2022
7_30_11_a,0.4,3,2022
7_30_11_a,0.6,3,2022
8_30_11_a,0.6,2,2022
9_30_11_a,0.7,5,2022
9_30_11_a,0.8,5,2022
9_30_11_a,0.9,5,2022
10_30_11_a,0.5,2,2022
10_30_11_a,0.5,3,2022
1_30_11_b,0.6,4,2022
2_30_11_b,1,4,2022
3_30_11_b,0.6,4,2022
3_30_11_b,1,4,2022
3_30_11_b,1.1,4,2022
4_30_11_b,0.3,2,2022
4_30_11_b,0.3,3,2022
4_30_11_b,0.3,4,2022
4_30_11_b,0.3,6,2022
4_30_11_b,0.5,2,2022
4_30_11_b,0.5,3,2022
4_30_11_b,0.5,4,2022
4_30_11_b,0.5,6,2022
4_30_11_b,0.6,2,2022
4_30_11_b,0.6,3,2022
4_30_11_b,0.6,4,2022
4_30_11_b,0.6,6,2022
5_30_11_b,0.5,3,2022
5_30_11_b,0.5,4,2022
5_30_11_b,0.6,3,2022
5_30_11_b,0.6,4,2022
5_30_11_b,0.8,3,2022
5_30_11_b,0.8,4,2022
5_30_11_b,0.9,3,2022
5_30_11_b,0.9,4,2022
6_30_11_b,1.3,5,2022
7_30_11_b,0.8,10,2022
7_30_11_b,0.8,12,2022
7_30_11_b,0.8,14,2022
7_30_11_b,1,10,2022
7_30_11_b,1,12,2022
7_30_11_b,1,14,2022
7_30_11_b,1.1,10,2022
7_30_11_b,1.1,12,2022
7_30_11_b,1.1,14,2022
7_30_11_b,1.2,10,2022
7_30_11_b,1.2,12,2022
7_30_11_b,1.2,14,2022
8_30_11_b,0.9,5,2022
8_30_11_b,0.9,6,2022
8_30_11_b,1.3,5,2022
8_30_11_b,1.3,6,2022
9_30_11_b,0.5,3,2022
9_30_11_b,0.5,5,2022
9_30_11_b,0.7,3,2022
9_30_11_b,0.7,5,2022
9_30_11_b,1,3,2022
9_30_11_b,1,5,2022
10_30_11_b,0.9,4,2022
10_30_11_b,0.9,5,2022
10_30_11_b,0.9,6,2022
1_B3_1,0.9,6,2023
1_B3_1,1,5,2023
1_B3_1,0.9,4,2023
2_B3_1,0.8,3,2023
2_B3_1,0.8,3,2023
2_B3_1,0.9,3,2023
3_B3_1,1.1,2,2023
3_B3_1,0.8,2,2023
3_B3_1,1.1,5,2023
3_B3_1,1.1,5,2023
4_B3_1,0.9,3,2023
4_B3_1,1,3,2023
4_B3_1,1,3,2023
5_B3_1,0.8,4,2023
6_B3_1,0.7,3,2023
6_B3_1,0.7,2,2023
6_B3_1,0.7,2,2023
6_B3_1,0.7,2,2023
6_B3_1,0.7,2,2023
6_B3_1,0.6,2,2023
6_B3_1,0.5,2,2023
7_B3_1,0.6,5,2023
7_B3_1,0.7,5,2023
7_B3_1,0.9,6,2023
7_B3_1,0.5,5,2023
7_B3_1,0.8,5,2023
7_B3_1,0.8,5,2023
7_B3_1,0.9,5,2023
9_B3_1,2,18,2023
9_B3_1,2,17,2023
9_B3_1,2,16,2023
9_B3_1,1.4,17,2023
10_B3_1,0.5,2,2023
1_B3_2,0.9,5,2023
2_B3_2,0.6,4,2023
3_B3_2,0.6,4,2023
3_B3_2,0.6,4,2023
4_B3_2,0.3,1,2023
5_B3_2,0.4,3,2023
5_B3_2,0.2,2,2023
6_B3_2,1.3,10,2023
7_B3_2,0.9,7,2023
7_B3_2,0.7,7,2023
7_B3_2,0.9,7,2023
8_B3_2,1.2,11,2023
9_B3_2,1.2,5,2023
10_B3_2,0.9,4,2023
10_B3_2,0.9,4,2023
1_A3_1,1.1,5,2023
5_A3_1,0.8,4,2023
5_A3_1,1,4,2023
5_A3_1,1.2,4,2023
5_A3_1,0.8,3,2023
5_A3_1,0.7,5,2023
6_A3_1,1.3,4,2023
7_A3_1,0.8,4,2023
8_A3_1,1.6,9,2023
8_A3_1,1.7,8,2023
8_A3_1,1.3,10,2023
4_A3_1,0.9,17,2023
10_A3_1,0.9,6,2023
2_A3_1,1,13,2023
9_A3_1,1,5,2023
3_A3_1,0.4,2,2023
4_A3_1,1,12,2023
2_A3_1,1.3,3,2023
3_A3_2,0.5,9,2023
1_A3_2,1,6,2023
3_A3_2,0.8,8,2023
2_A3_2,0.7,7,2023
5_A3_2,0.6,7,2023
5_A3_2,0.6,4,2023
4_A3_2,0.9,5,2023
6_A3_2,0.8,5,2023
7_A3_2,0.5,7,2023
10_A3_2,0.6,3,2023
9_A3_2,0.5,5,2023
6_A3_2,1.2,4,2023
10_A3_2,0.8,2,2023
10_A3_2,0.4,3,2023
8_A3_2,1.1,12,2023
8_A3_2,1.1,11,2023
8_A3_2,1.1,11,2023
2_B1_1,1.1,13,2023
2_B1_1,0.8,12,2023
3_B1_1,0.8,3,2023
3_B1_1,0.9,3,2023
3_B1_1,0.5,4,2023
4_B1_1,1.1,10,2023
4_B1_1,1.2,9,2023
4_B1_1,1,11,2023
5_B1_1,1.1,13,2023
6_B1_1,0.5,5,2023
6_B1_1,0.8,6,2023
7_B1_1,1,4,2023
7_B1_1,1,4,2023
7_B1_1,1,5,2023
7_B1_1,0.7,4,2023
7_B1_1,0.7,5,2023
7_B1_1,0.7,5,2023
1_B1_1,0.8,5,2023
9_B1_1,1.6,7,2023
9_B1_1,1.4,5,2023
10_B1_1,0.6,7,2023
10_B1_1,0.6,8,2023
8_B1_1,1.4,7,2023
3_B1_2,0.8,2,2023
3_B1_2,0.8,2,2023
3_B1_2,0.8,2,2023
4_B1_2,0.9,3,2023
1_B1_2,1.3,6,2023
2_B1_2,1.1,8,2023
6_B1_2,1.2,4,2023
6_B1_2,1.1,3,2023
6_B1_2,1.2,3,2023
6_B1_2,1.3,3,2023
7_B1_2,0.5,4,2023
7_B1_2,0.6,4,2023
7_B1_2,0.8,3,2023
8_B1_2,1,11,2023
9_B1_2,1.1,7,2023
9_B1_2,0.9,6,2023
10_B1_2,1,4,2023
10_B1_2,0.9,4,2023
10_B1_2,0.9,5,2023
10_B1_2,0.9,5,2023
10_B1_2,0.9,3,2023
10_B1_2,0.9,3,2023
10_B1_2,1,4,2023
5_B1_2,0.9,9,2023
2_A1_1,1.5,14,2023
2_A1_1,1.8,15,2023
1_A1_1,1.2,5,2023
3_A1_1,0.7,5,2023
5_A1_1,1.5,9,2023
5_A1_1,1.3,8,2023
6_A1_1,0.8,4,2023
8_A1_1,0.7,2,2023
8_A1_1,0.9,2,2023
9_A1_1,0.5,3,2023
9_A1_1,0.5,3,2023
10_A1_1,0.7,3,2023
11_A1_1,1.3,4,2023
7_A1_1,0.2,1,2023
8_A1_1,0.7,3,2023
4_A1_1,0.4,3,2023
2_A1_2,0.5,1,2023
2_A1_2,0.4,1,2023
1_A1_2,0.8,5,2023
3_A1_2,1.3,4,2023
3_A1_2,1.2,3,2023
4_A1_2,0.8,6,2023
4_A1_2,0.8,7,2023
4_A1_2,0.5,5,2023
4_A1_2,0.6,7,2023
5_A1_2,0.9,4,2023
5_A1_2,0.8,2,2023
6_A1_2,0.8,5,2023
6_A1_2,1.3,5,2023
6_A1_2,0.9,5,2023
7_A1_2,1,13,2023
7_A1_2,1.2,6,2023
7_A1_2,1.4,15,2023
8_A1_2,1.1,3,2023
8_A1_2,1.1,3,2023
9_A1_2,0.4,3,2023
10_A1_2,0.5,5,2023
10_A1_2,0.7,5,2023
10_A1_2,0.5,5,2023
10_A1_2,0.7,5,2023
1_B2_1,0.8,4,2023
1_B2_1,1.1,3,2023
1_B2_1,0.9,3,2023
2_B2_1,0.9,12,2023
2_B2_1,1,10,2023
5_B2_1,1.1,4,2023
6_B2_1,0.9,5,2023
6_B2_1,1.1,5,2023
7_B2_1,1,2,2023
7_B2_1,1,3,2023
7_B2_1,1,3,2023
3_B2_1,0.9,6,2023
4_B2_1,1.3,8,2023
8_B2_1,1,4,2023
9_B2_1,0.7,13,2023
9_B2_1,1.4,4,2023
10_B2_1,1,9,2023
10_B2_1,0.9,9,2023
10_B2_1,0.9,9,2023
10_B2_1,0.8,9,2023
10_B2_1,1.2,6,2023
6_B2_2,1.7,15,2023
6_B2_2,1.7,15,2023
6_B2_2,1.8,18,2023
1_B2_2,1,4,2023
1_B2_2,1,4,2023
1_B2_2,1.1,4,2023
8_B2_2,1.3,5,2023
10_B2_2,1.1,5,2023
2_B2_2,0.9,4,2023
9_B2_2,0.8,3,2023
7_B2_2,0.9,3,2023
4_B2_2,1,5,2023
3_B2_2,1,5,2023
10_B2_2,0.7,4,2023
8_B2_2,1.2,4,2023
5_B2_2,1.1,5,2023
3_B2_2,0.8,5,2023
3_B2_2,0.8,5,2023
4_B2_2,1,5,2023
10_B2_2,0.7,4,2023
2_A2_1,1,4,2023
2_A2_1,1.1,4,2023
2_A2_1,0.7,3,2023
3_A2_1,0.6,5,2023
5_A2_1,0.8,3,2023
5_A2_1,1,6,2023
6_A2_1,1.1,4,2023
6_A2_1,1.1,4,2023
6_A2_1,1.4,7,2023
7_A2_1,1.4,6,2023
8_A2_1,1.4,5,2023
8_A2_1,1.3,6,2023
9_A2_1,0.8,7,2023
10_A2_1,1,5,2023
10_A2_1,1,9,2023
6_A2_1,1,5,2023
1_A2_1,0.9,4,2023
4_A2_1,0.7,3,2023
4_A2_1,0.5,2,2023
1_A2_2,0.8,7,2023
10_A2_2,0.5,3,2023
10_A2_2,0.6,3,2023
2_A2_2,1.4,6,2023
2_A2_2,1.5,4,2023
3_A2_2,1.3,4,2023
3_A2_2,1.4,4,2023
5_A2_2,1.4,5,2023
5_A2_2,1.4,5,2023
6_A2_2,0.8,5,2023
7_A2_2,0.9,6,2023
8_A2_2,1.1,4,2023
8_A2_2,1,4,2023
9_A2_2,2,4,2023
4_A2_2,1.2,6,2023
4_A2_2,1.4,5,2023